pole,gloss,phoneme,mean_z,n_langs,n_families,family_sign_concord,total_count,p_perm,q_fdr,significant
艮卦-dynamic,mountain / descent,p,-0.074,20,10,0.6,512,0.5522,0.7677,False
中卦-dynamic,center / mixture,ʌ,-0.287,5,3,0.67,54,0.5572,0.7679,False
乾卦-static,sky / fullness,ʃ,-0.189,9,4,0.5,82,0.5572,0.7679,False
震卦-static,thunder / base,x,-0.127,8,3,0.67,103,0.5572,0.7679,False
坤卦-static,earth / void,f,-0.089,16,7,0.43,140,0.5572,0.7679,False
中卦-static,center / uniformity,k,0.125,20,10,0.5,300,0.5622,0.7713,False
坎卦-dynamic,water / dispersal,k,0.118,21,10,0.7,374,0.5622,0.7713,False
坤卦-static,earth / void,ɔ,-0.118,10,5,0.8,77,0.5672,0.7764,False
乾卦-static,sky / fullness,ŋ,0.218,6,5,0.6,73,0.5721,0.7799,False
坤卦-static,earth / void,ʊ,-0.14,7,3,0.33,70,0.5721,0.7799,False
離卦-dynamic,fire / contraction,t͡s,0.146,6,4,0.75,85,0.5771,0.7832,False
震卦-dynamic,thunder / rising,p,0.09,20,10,0.4,321,0.5771,0.7832,False
巽卦-dynamic,wind / seepage,l,0.221,17,8,0.5,92,0.5821,0.7849,False
坤卦-dynamic,earth / stillness,ɾ,-0.126,6,3,0.67,322,0.5821,0.7849,False
兌卦-dynamic,marsh / emission,x,0.11,8,3,0.67,90,0.5821,0.7849,False
乾卦-static,sky / fullness,ɾ,-0.19,5,3,0.67,105,0.5871,0.7882,False
中卦-static,center / uniformity,d,0.177,16,8,0.62,153,0.5871,0.7882,False
中卦-dynamic,center / mixture,ɾ,-0.248,5,3,0.67,42,0.602,0.7896,False
中卦-static,center / uniformity,z,0.188,8,6,0.67,60,0.602,0.7896,False
中卦-static,center / uniformity,ə,0.188,9,6,0.33,127,0.607,0.7896,False
巽卦-static,wind / detachment,t,-0.161,18,9,0.56,180,0.607,0.7896,False
震卦-dynamic,thunder / rising,w,0.13,10,7,0.43,111,0.597,0.7896,False
中卦-dynamic,center / mixture,t,-0.126,18,8,0.62,151,0.607,0.7896,False
艮卦-dynamic,mountain / descent,ʌ,0.124,6,3,0.67,289,0.597,0.7896,False
