animal*,"-1.0,-1.0,1.0"
pet*,"-1.0,1.0,1.0"
vet*,"-1.0,1.0,1.0"
zoo*,"1.0,1.0,1.0"
mammal*,"-1.0,-1.0,1.0"
cow*,"1.0,-1.0,1.0"
horse*,"1.0,-1.0,1.0"
donkey*,"1.0,-1.0,1.0"
pig*,"1.0,-1.0,1.0"
mouse*,"1.0,-1.0,-1.0"
cat*,"1.0,1.0,1.0"
dog*,"1.0,1.0,1.0"
tiger*,"-1.0,1.0,-1.0"
lion*,"1.0,-1.0,-1.0"
rabbit*,"1.0,-1.0,-1.0"
sheep*,"1.0,1.0,-1.0"
lamb*,"1.0,-1.0,-1.0"
goat*,"1.0,1.0,-1.0"
monkey*,"1.0,-1.0,1.0"
panda*,"-1.0,1.0,1.0"
bear*,"1.0,-1.0,1.0"
polar-bear*,"1.0,-1.0,-1.0"
wolf*,"1.0,-1.0,-1.0"
fox*,"1.0,1.0,1.0"
camel*,"-1.0,-1.0,1.0"
elephant*,"-1.0,-1.0,1.0"
giraffe*,"-1.0,1.0,-1.0"
zebra*,"-1.0,-1.0,-1.0"
rhinoceros*,"1.0,1.0,1.0"
leopard*,"-1.0,1.0,1.0"
cheetah*,"-1.0,1.0,1.0"
kangaroo*,"1.0,-1.0,1.0"
squirrel*,"1.0,1.0,-1.0"
hedgehog*,"1.0,1.0,1.0"
otter*,"1.0,-1.0,-1.0"
bat*,"-1.0,-1.0,-1.0"
bird*,"1.0,-1.0,1.0"
nest*,"-1.0,1.0,-1.0"
chicken*,"1.0,-1.0,1.0"
pigeon*,"1.0,-1.0,1.0"
duck*,"-1.0,1.0,1.0"
goose*,"-1.0,-1.0,-1.0"
hummingbird*,"1.0,-1.0,-1.0"
sparrow*,"1.0,-1.0,-1.0"
magpie*,"-1.0,1.0,1.0"
oriole*,"1.0,-1.0,-1.0"
thrush-bird*,"1.0,-1.0,1.0"
swallow-bird*,"1.0,-1.0,1.0"
turtledove*,"1.0,-1.0,1.0"
parrot*,"1.0,-1.0,1.0"
woodpecker*,"1.0,1.0,1.0"
cormorant*,"1.0,-1.0,1.0"
